电影名称,评分,短评数量,热门短评
上帝之城,8.9,全部 37151 条,"['看过巴西，才知道我国多么安定……', '评论这部电影是可耻的', '暴力永远是贫民窟不可分割的一部分', '这配乐这镜头！！！！', '一部震撼人心的电影。是的，这部电影带给人的冲击力之大难以用语言来形容，首先导演的水平很高，拍摄手法和剪辑方式都相当前卫，配乐也是和主题形成了巨大的反差效果，故事越是残酷音乐越是奔放，里约热内卢的贫民窟，世界上最接近地狱的地方，电影真实地还原了那里发生的一切，从孩子开始，无法无天。']"
血战钢锯岭,8.7,全部 130173 条,"['正常国家的战争片告诉你，战争是一件肮脏残酷血腥恐怖的事情。你要有中奖般的运气才能活下来。军国主义国家战争片告诉你，战争很好玩，敌人很愚蠢，每天除了开枪打靶一样打敌人之外，就可以游手好闲，不用上班不用种田，关键还有各种风格的漂亮妹子陪伴', '队伍配置中奶妈的重要性', '“每个人的信仰都值得尊重，这就是最真实的我们” 我操，好久没看到如此热血经典范儿的电影了！复古老派，却看得老泪纵横。继上一部导演作品《启示》后，阔别十年的梅尔·吉布森依然出手不凡！恍惚在看2016的《地心引力》《勇敢的心》《拯救大兵瑞恩》《辛德勒的名单》…（短评也得老干部一点', '李安想告诉我们英雄是会软弱会迷茫的平凡人，梅尔吉布森告诉我们英雄都是神一样的人。但是这部片的好处是，同样是展现人的神化，它可比手撕鬼子的剧真实多了。大概是因为真正的神从来不觉得自己所做的一切常人难以企及，他只是谦卑地认为自己做的还不够。克制是最大的美德。', '其实这片子挺牛逼的，后面一个小时里黄继光，董存瑞，王成，李云龙，白求恩相继出场.....']"
电锯惊魂,8.7,全部 54257 条,"['这其实是个励志片好不好，杀手先生告诉俺们即使在生命的尽头还是能干成很多事情滴~', '硬伤多，黑人警察傻到爆炸', '这么多年了 没看之前我一直以为这片子是讲一个拿着电锯的杀人狂的故事...另外 我也终于明白了为什么豆瓣要改版把论坛话题隐藏 是为了防止我们看到剧透啊！！（那个剧透的人去死去死）', '期末考试前夜在全宿舍一起看的，看到锯腿的那段我们四个全把眼睛捂严了，“完了没”，“不知道”，“怎么都没人在看”，“谁去把声音关掉啦”……女生还是不要集体自虐比较好。', '喜欢Adam，除了漏洞之外就可以五星了。但是那个一直躺在那里装死人的活人怎么可能完全不被发现呼吸起伏什么的呢？而且没想到演adam的演员就是前三部的编剧。厉害。']"
傲慢与偏见,8.6,全部 97803 条,"['最爱~~~伊丽莎白在大雾中看到渐渐清晰向自己走来的达西先生，我眼睛都湿润了……', '拍得挺美的,拍名著只要不把它拍砸了就是胜利', '那个傲慢的人在溢满雾气的晨曦中走来，用最卑微的姿态求你爱他，甚是美好', '烂。我讨厌凯拉·奈特莉！', '英伦田园的风景美丽如画，绅士淑女的爱情曲折如诗；也许这不是最好的一版，但绝对是最美的一版，画面太迷人了。']"
时空恋旅人,8.7,全部 89379 条,"['1、三观够正，道理积极；2、故事想法很有意思；3、原声配乐很好听；4、剧本有问题，过度弱化冲突，故事本身除了舒服外没有说服力，life is much harder；5、太多旁白只说明剧情推进的乏力；6、镜头不时莫名其妙地晃；7、片子质量有三分，给到四分是私心', '对真爱至上/海盗电台都无感的我，自然也喜欢不起来他的这部新片，受不了这种非要在Chick Flick中探讨人生的刻意感，好几个小清新的煽情段落都可以直接用来当心灵鸡汤式的公益广告了，配上干瘪的说教更是雪上加霜。时空穿梭的BUG实在碍眼，“再来一次”的笑料也过于重复，OST好听到让我不断出戏。', '你们有没有发现，所有的时空穿越的电影和书到了最后都在告诉我们，要living in the moment...最朴实庸常的时刻也是美好的', '以为它是软科幻片，结果一开始的感觉，它是个喜剧片，紧接着你发现它是个爱情片，然后你发现它个伦理片，最终，你发现它是鸡汤片。不可否认，这鸡汤还是挺美味的。', '关于时空穿越的“技术流”问题不少，但是作为一部有笑有泪又有爱的心灵鸡汤片该做的也都基本表现到位，尤其泪点深得Eternal Sunshine of the Spotless Mind和The Curious Case of Benjamin Button之精髓。']"
喜宴,8.9,全部 47446 条,"['“妈，同性恋的人能够在各方面合得来凑合在一起生活，非常不容易。所以我跟赛门都很珍惜对方。” 李安总能在边缘和传统之间找到恰到好处的平衡点，然后双双将我们击溃。', '昨晚看李安的采访，他说「在变化得太快的社会中，孝道该何去何从。人好像只能去接受和追赶这些变化，其实是很无奈与惆怅的。」家庭三部曲终于看完，这部编剧太妙，如果说「饮食男女」是在调和传统伦理与烟火世俗，那么这部则在调和中西、以及传统与现代的文化。PS：李安那惊鸿一瞥的客串。', '故事讲圆了，金素梅的台词功太生硬，想打掉孩子的那两段台词写得不好。', '台湾跟大陆假结婚，其实在跟美国搞同性恋', '《喜宴》最好的地方在于拍成了喜剧片，而且真的能让人笑出来，如果板着脸讲这个故事，说不定就味同嚼蜡了。这么多年李安对于乖乖仔的审美一直都没什么变化，从赵文瑄到托比·马奎尔、王力宏和比利林恩，他就是喜欢五官深邃且人畜无害的大男孩。']"
谍影重重3,8.8,全部 33327 条,"['COOL到一塌糊涂！', '第3部还那么NB', '难怪马特达蒙那几年间当选最性感男星，伯恩系列的特点是主角冷静理智不耍帅，靠智商和观察力取胜，这才像个特工吧，和伯恩相比，邦德和汤帅哥都不够聪明的感觉，编剧让人想鼓掌，低调又紧凑。诚恳的五星好片。', 'Matt各种有型', '作为经典系列的完结篇，依旧成功延续着这系列出色的风格。精练的对白、扎实可靠的表演、华丽的剪辑和原声。无论是过程还是结尾，始终扣人心弦★★★★☆']"
教父3,8.9,全部 24633 条,"['本来冲着索菲亚·科波拉要少打一颗星的，但是看到她被杀死了好开心啊！！！！', '一个完整的教父，最后风烛残年很令人感动。其实并没有像很多人那样不喜欢这部经典的第三部，毕竟时隔这么多年不管是导演还是演员各方面都变化太大了，能保持在水准之上已经实属不易。★★★★', '教父们的遗恨。江山易主、风水轮流转的苦痛。怒火蒙蔽理智。麦克：“文森，你将走向不归路。”暗藏杀机的歌剧音乐会。宗教的介入是一种心灵的救赎，一种精神的寄托。玛莉的死去  阶梯上的红地毯浸满了鲜血。悲剧就是把最好的东西毁坏给你看。', '安迪·加西亚真像年轻版本的阿尔•帕西诺！这一部像是回归到原点，与前两部惊人相似的聚会场面，年轻一代的邂逅与相爱，下一代对家族生意的抵触，重返西西里的感慨；最感动的还是教父失去爱女的痛苦吼叫、无法得到的谅解、垂暮之年的眼泪、临终前的回忆。', '牛逼人物的特质是枪都开不死。帕西诺。']"
岁月神偷,8.7,全部 95628 条,"['老演员表现非常精彩，新生代与小演员则一塌糊涂；布景与摄影都很粗糙；台词过分直白外露，细节安排不周到，刻意煽情；太情节缺乏深度，除了亲情尚有力度，其余都是苍白的怀旧。', '如果你觉得只要电影里有人得白血病那么这部电影就是烂片的话，你不就不要看这部片了。', '它讲述了一个前途光明的年轻人死于绝症的故事……煽情处是编剧精准计算的，但小孩子的演绎天然发挥让煽情真实好多。黄金一样的色调和过去情怀，其实不需要死亡也可以表现出岁月流逝的伤感和来日可追的信心。', '主线太俗套，全靠细节、意象和所谓香港精神支撑。最后小弟弟扔掉英国国旗为了“同亲人重逢”，还真tmd和谐', '影院里我哭的跟罗进二似的']"
英雄本色,8.7,全部 43690 条,"['Leslie这个萌娃。据说有次Leslie在电影院看午夜场，他跟盆友说：要死了，观众那麼喜欢发仔，而我却是个要抓发仔和我哥哥的警察。 第二部的时候，他开森的说：这回有人同情我了。看我演得多好！我的妻子怀孕生子时，我死佐~', '香港黑帮电影的代表作！小马哥，那是一个神的样子~~', '三个男人的戏，打得太精彩太经典了！', '兄弟和好的时候，哭得不行。', '5年没看了，此次在巨幕厅重刷，竟然被感动的热泪盈眶。虽然有着诸多瑕疵，但仍能感受到那份朴实真挚的兄弟情。尤其是下午刚看完《追捕》，高下立判，三十年后的吴宇森电影变得如此浮夸与做作，失去了那种最打动人的底蕴。映后见到垂垂老矣的吴宇森，突然也不想过多地批评他了，口碑如何观众自有评判。']"
七武士,9.2,全部 25902 条,"['我只能用”高山仰止”四字来形容我对黑泽天皇这部旷世杰作的仰慕之情；纷繁庞杂却又条理清晰的史诗，严苛而精准的镜头和构图，七个武士和若干农民的性格都被描绘得入木三分， “休憩”后的大决战无比恢弘，叹为观止。', '五十多年前的动作片，久看不厌，历久常新，大师的功力不同凡响', '农民寻贤求武士；武士精心部署之；部署完备等山贼；双方对战各损失；是赢是败难界定；农民欣喜武士伤。长叹息以掩涕兮，哀民生之多艰，以哀其农民之拙劣的本性——懦弱、猜疑、自私、松散、缺乏主见、固守成规；然而，哀而不怪，历史索然，形势所趋，只能寄望于未来，农民阶层可以雄起！', ""好长哦，居然还要看两遍。据说这部片子开创了招兵买马这种剧情的先驱，想想Ocean's 11，就觉得好了不起哟。"", '劇本的言外之意在結尾已經很明顯。農民獲勝就無視武士的付出。他們既可以殺害落魄武士搶奪他們的物品，也可以把弱小當作自己的武器吸引落魄武士的同情，利用他們保護自己，所以菊千代說農民是自私醜陋的。但武士終究貫徹自己的道義為民守城，這是寫給武士的讚歌，但也是武士的悲歌。結尾的對白太心酸']"
被解救的姜戈,8.7,全部 90574 条,"['故事核心其实老土得很，就是男的历尽千辛万苦去救他心爱的人。但是故事人物设定实在太棒，花165分钟在这部电影上是绝对不会后悔。', '疯也不够疯，血腥就是血腥，没有美学；邪也不够邪，从主题到叙事执行到镜头安排都标准正统；范也不够范，没有《大地惊雷》的侠义道，也没有《黄金三镖客》的神级配乐。这恐怕是最平庸的一部昆汀。Christoph Waltz倒是一贯精彩，松弛、留白、收放自如。3.5星。', '4.5。1.痞子昆就是这样，见你犯困了，他就来场重口味强心剂，于是，你又屁颠颠精神百倍。2.头套突袭那场笑喷了，炸平糖果庄园后的示爱也超浪漫。3.遗憾，姜戈痞气不足，沉默期与着魔期的跨度可以更夸张些。4.配乐及部分诗意输出不如[无耻混蛋]讲究，但台词更见功力了。5.同以解放黑奴，与[林肯]暗合。', '一部很high的意大利通心粉西部片，就是那种影迷们期待的痞子昆电影，竟然片中人人都觉得奴隶制很正常！诡辩的话唠神逻辑，绝不吝啬的番茄汁，类型杂糅的舒心配乐， 克里斯托弗·沃兹和塞缪尔·杰克逊神棍级的表演，最后故事又在失控中走向疯狂了，唯一的小遗憾就是影片剪辑的节奏始终慢半拍。★★★★', '热血沸腾！三年的等待值了！那个低俗、性感的无耻混蛋又来了！']"
疯狂原始人,8.7,全部 112927 条,"['《超人总动员》一家人的团结与各显神通、《冰河世纪》的原野放逐与聒噪搞笑、《勇敢传说》的脉脉亲情、《阿凡达》的奇观异景、《驯龙高手》的各色萌兽……前后呼应、没有一个多余的情节，过山车式爽快节奏，一路笑着哭。2014第86届奥斯卡最佳动画长片预定提名', '「疯狂原始人」说的是一个地震高发以及pm2.5老是超标的地方只有中科院的男朋友才能拯救你全家的故事。=3=', '绝对今年最好的动画片！我凯奇叔和石头姐配音赞爆了！泪点低如我最受不了梦工厂煽亲情！后1/3都在为凯奇叔流泪~老掉牙的外来乱入和一家冒险！但架不住拍的好啊！梦工厂拍成这样再老掉牙的设定我也乐意看！人见人爱无可挑剔五星五星！续集快到碗里来！裤腰带和坦克莫名的萌啊！结尾的飞翔太诺亚方舟了！', '同样是「冲破阵规」的主题，这个比brave无论在选题还是故事上都有趣多了。远古生态环境的设定也很有趣。croods一家的戏份摆得很好，都个性鲜明又不会抢了主角的光彩。清新热闹流畅加一点小狗血。当皮克斯变成迪尼斯的时候，梦工厂变成了皮克斯。果然是「爱你就会变成你」，相杀相爱神马的。', '基本上每分钟都是笑点，笑惨了好吗！绝对是今年大银幕上最搞笑的电影，且很可能没有之一！3D效果也超赞，色彩绚丽程度不亚于《里约大冒险》。我估计带我三岁儿子一起看，也会乐得屁巅屁巅，因为实在太老少皆宜了，这就是好莱坞动画的魅力。']"
功夫,8.5,全部 61510 条,"['不要说烂，其实很卡通很cult', '重温《功夫》，改四星半。阿星认出哑女这段，身后海报是金姐与弗雷德的歌舞片《礼帽》（1935），符合时代背景。当初看时没多想，现在想想应该也有其寓意。礼帽是斧头帮成员的行头，而身后的海报是帽子飞舞，代表阿星弃恶从善，正好对应这场内心转变。ps:前面斧头舞也有弗雷德.阿斯泰尔歌舞片的意思。', '华丽的夸张，情节倒是紧凑，毫不拖沓', '个人认为这是星爷作为导演拍的最好的一部片子。', '不知道看第几遍了，只感受视听语言和节奏就已经共振到流鼻血的程度。']"
真爱至上,8.6,全部 116346 条,"['1、每当我对世局倍感忧虑时，就会想到希思罗机场的入境闸口。人们认为世界充满仇恨与贪婪，但我却不同意。在我看来爱无处不在，虽然未必来的轰轰烈烈，但是爱永远存在。父子，母女，夫妻，男朋友，女朋友，老朋友，当飞机撞上世贸大厦时，临终打出的电话，谈的不是报复，而都是爱。如果你肯留意，你会发现爱其实无处不在。love actually is all around.', 'Where the fuck is my fucking coat?', '“这是我一天当中最喜欢的时光，载着你；这是我一天中最痛苦的时候，离开你…” 圣诞节必备佳片。', '从第30分钟小男孩说自己fall in love 开始，所有的感情都美好起来', '像我这样一个对外国电影了解不多的观众，看的时候一直处于“我靠这个人好眼熟，这个人不是那个谁吗，这个人是大牌吧，这个人我知道名字！……”的状态中。']"
三块广告牌,8.7,全部 140811 条,"['这部竟然拍得非常温柔，有点落寞和伤感，看完会被人的善良所打动。虽然确实有些天真，但还是好爱这样的电影，会让你很享受这个故事。当然，导演之前擅长的喜剧部分仍然很到位。几个演员都非常出色，女主和两个男配，写得好，演得更好。挺奥斯卡的片，应该能有斩获吧。', '三块火一样烧红的广告牌，三个人，三封信。角色的面目都是逐渐清晰起来的，就像警局里前一秒两人还针锋相对，局长意外吐血，米尔德脱口而出一句“baby”，全片就充满那样意外又令人心软的转折。', '太精彩了，实在想不到今年还有什么影片可以挑战。剧情音乐节奏摄影都接近满分，更可贵的是除了女主弗兰西斯的超水准表演之外，剩下所有演员的演出都精彩到可以颁最佳群戏。由于不妥协与不谅解所引发一系列悲剧，但是悲剧中更有合理的人性，戾气重的浪漫诗。从第一幕路过告示牌咬指甲就最佳女主内定了。', '我对生活从无迷信，为何对女儿的诅咒却一语成谶？我以为世间应有上帝，奈何却被邪佞玩弄股掌。没人告诉女人在丈夫自尽后的一天该做什么，也没人知道母亲在女儿奸杀后的半生能做什么。在血色晚霞里涂上殷红的广告牌，它早晚会在烈火里被遗弃。幸好在斑驳之前，每个经过它的人都看过上面狰狞的字，正义。', '3.5 电影咋看很酷，美国乡村天注定，被人欺负了24小时内一定要报仇。剧作也确实比较大胆，很大的梗就这样撂下了也不觉得哪不对。演员也都很好，还很好笑。但警长一封信道出了内核的问题：你们这样主要是因为缺乏善良友爱。这不对吧，如果这些红脖缺的真的是爱，一年前他们怎么会去投川普呢']"
萤火虫之墓,8.7,全部 55297 条,"['我发誓我再不敢看第二遍', '“我们做错了什么？”这话应该由日本人说么，即使是平民？妹妹的神态、动作、配音都绝了。', '烧饼国不好好反省居然还想骗取同情？历史是你想扭曲就能扭曲的嘛！', '虽然事先知道这是个煽情的片子，知道它注定是个悲剧，还是哭了。告诉你这是个悲伤电影，在你准备好的情况下，还能达到效果，的确是个好片子', '日本人博取同情的功利 是中国的N倍。']"
心迷宫,8.7,全部 80521 条,"['国产犯罪片越来越好。「烈日灼心」力道够了，然剧本硬伤太重。「心迷宫」的剧本真是惊喜。如此群戏能这样流畅地自圆，已实属不易；时间线打散却又让观众能轻易缕清而不显杂乱无章，确是匠心别具地精巧。开场即惊艳；结尾父子对峙戏太棒。当然，为过审加上的那行字幕让人出戏，不过相信以后会更好。', '挺惊艳。有点感觉是下一个“宁浩”诞生了，但比宁浩更有电影意识。开头一个镜头带四个不同人物关系出场，挺拽。演员尤其是女演员选的到位，和角色特别匹配。最关键的是我几乎从头笑到尾。在这个中国商业电影如同屎一般的年代里，这么精巧聪明又大智若愚的片子像金子一样珍贵。力挺！', '诺兰结构科恩风格本土叙事，五星鼓励', '放冰箱那个红色塑料袋到底是干啥的？', '4.5。1.终于得见[殡棺]，乡村怪尸即视感，叙事结构值五星哈。2.所有秘密都不说出，每个时间节点都恰到好处，昔日看蒙吉[西方]也有类似感受。3.村长苦逼处境被一层层剥开，是全片最华彩部分。4.父子俩隔着棺材沉默站立，那一刻情绪超赞。5.对于风格尚欠、硬件粗陋的新导演来说，整体上可挑剔的不多。']"
哪吒闹海,9.0,全部 17107 条,"['哪吒刚刚降生，李靖就想一剑劈了他；\n龙王恶人先告状，李靖却丝毫不听哪吒的解释；\n哪吒制服了龙王，李靖又叫人把他绑起来；\n面对四海龙王的报复，他甚至想杀死哪吒……\n是怎样的父亲，才会对自己的亲生骨肉心存偏见？\n是怎样的父亲，才会胳膊往外拐，站在别人那边？\n是怎样的父亲，才会是非颠倒，不分青红皂白？\n并非所有的孩子都是熊孩子，反而是很多父母不配做父母。\n在这个“百善孝为先”的国度，《哪吒闹海》没有跟风...', '中国的少年大底上应该要像哪吒的', '拦腰斩断的六十五分钟 被斩还有 吃人 被吃 弑父 权权倾轧 “这还你的骨肉 不连累你” 这是最大的背叛 委屈 和孤独', '影片摆脱了原著《封神榜》的黑暗色彩，而是塑造了一个如梦似幻的美丽童话世界，电影中的色彩运用堪称出神入化，人物塑造也是极富神采，这是一个充满童真和童趣的电影。回忆啊', '年轻勇敢的战士，为保护更年轻的一代不被老朽腐坏的政权吞食，抛弃了自己的血肉之躯，与怯懦的父亲决裂，战斗过后，向着光明的未来奔去。但是龙王是杀不死的啊，死了还会有新的龙王，永远渴求着更多的童男童女，几千年了，哪吒还打得动吗？']"
纵横四海,8.8,全部 41533 条,"['香港影史最赞三人行', '有新武侠的潇洒。        “其实爱一个人并不是要跟她一辈子的。我喜欢花，难道你摘下来让我闻；我喜欢风，难道你让风停下来；我喜欢云，难道你就让云罩着我；我喜欢海，难道我就去跳海？”', '這個組合太誘惑了……', '这么多年，还是觉得周润发莫名其妙被人偷垒很可怜啊', '五星，人生挚爱！哥哥、发哥、钟楚红，所有人的表演都太惊艳了，哥哥在桥上自己的画上签名的洒脱，还有俩人配合偷取宝物的情节和动作，喜剧而不失张力。整部电影综合喜剧、浪漫、爱情、动作、情义，多种元素于一体，奔放而不失细腻，带给人深深的满足感和刺激，太给力了 ']"
天书奇谭,9.2,全部 14212 条,"['中国动画的巅峰。', '年轻狐狸精还真美。袁公乃中国的普罗米修斯呵。', '这是我最爱的动画片之一', '蛋生不是生蛋。', '这里出现了历史上最猥琐的玉帝形象……']"
我是山姆,8.9,全部 40431 条,"['孩子和“傻子”演技都很强大，更重要的是，它表现的一种富于人文精神的理念。', '情节有些拖沓 主题很好 演员也不错 但是导演不好 ', '“没关系，爸爸，没关系。不要难过，我是幸运的，别人的爸爸都不会带孩子去公园。”', '“lucy in the sky with diamonds……”十分的亲情，十分的爱，爱的能力并不是取决于智商的高低。原声好，主题好，演员好，但就是有些拖沓与着力过猛。★★★★', '六星的片子，哭得一塌糊涂。老天忘了我这个可怜的小孩，偏偏要给我这部电影提醒我有些东西我永远得不到。不能重生，不能生，此生再无机会，那就只好死去了。']"
达拉斯买家俱乐部,8.8,全部 59862 条,"['马修麦康纳和杰瑞德·莱托，他们两不拿小金人真是没天理。现在打赌，2014金球奖和奥斯卡，最佳男主或最佳男配，他们至少一个，若没得奖我吃键盘，上图。立此为据！！8.6（PS：键盘君终于舒了一口气，2014-3-3。= =！）', '用最轻松的态度拍出了最沉重的题材，完全不加煽情的感染人心。男演员们演技都大发了，今年Jared Leto不拿最佳男配我特么就撕逼！！！！', '绝症不可怕，绝望才可怕。绝育不算难，绝欲才叫难。', '剧情很平淡，几位演员奉献了他们人生最精彩的表演，不知道马修是怎么样把自己那张帅脸变成电影里那副纵欲过度的屌丝样的，再让我感慨一下演员这个职业太不容易了…我家少爷今年不得奥斯卡最佳男配我就自宫！我就自！宫！我话放在这儿了学院不举的老头们你们看着办吧！【谁管你﹁_﹁', '《瘟疫求生指南》的剧情版延伸，配合那个纪录片，将会了解他们的更多困难。这种正邪分明的片子虽然简单，但看起来很过瘾，两位男演员的努力让这部片子更有魅力。有几处细节很棒。比如超市遭遇旧同事，一场戏就把男主的立场和两位演员的关系转变都带出来了。杰瑞德·莱托比很多女演员都有魅力']"
爆裂鼓手,8.7,全部 91870 条,"['我在同样变态的师傅手下呆了三年，祖宗十八代被骂了个遍，没空吃饭上厕所睡觉交朋友谈恋爱，脊椎侧弯，颈椎强直，严重慢性疲劳，什么都没干，就是学敲键盘写文章。而我的极限在我妈看来不过是纸上吹牛皮而已。这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力', '清晰果断。……另外这部电影真是不错的试金石，看看短评就知道了。只从中看到痛苦，而看不到痛苦之中挟裹着快乐的人，大概从没认真追求过什么。', '4.5。1.极速黑暗励志，不偏执不疯狂永远难成大师。2.节奏太燃，入戏太疯，逼功一流，捏着把汗直到落定最后一个鼓点。3.每场演奏都仿佛冒着伟大的硝烟，令我对弗莱彻背后的神秘暗流充满好奇心。4.爵士酒吧夜谈戏：英语里再没有哪两个字比“不错”更害人的了。5.少壮不努力，长大玩摇滚，哈哈哈哈！', 'J.k.西蒙斯应该能拿下男配！这片子的节奏感实在太棒了，爵士乐和剪辑简直融为一体了，还有西蒙斯机关枪版恶毒的台词，脏字就像鼓点一样密集且激烈，几场打鼓的重头戏在镜头上都是细碎古怪，靠剪辑重新赋予整体戏一气呵成且不断加速的节奏，可惜整部电影还是碎的，否则就真成大卫·芬奇了。★★★★', '他得到了世界，他失去了灵魂。']"
东邪西毒,8.6,全部 59556 条,"['“每个人都会经历这个阶段，看见一座山，就想知道山后面是什么。我很想告诉他，可能翻过去山后面，你会发觉没有什么特别，回头看会觉得这边更好。但是他不会相信，以他的性格，自己不试试是不会甘心。” \r\n', '还是最喜欢张曼玉在窗边那几段……', '电影诗', '090331美嘉——这样的片子还是不适合在电影院看——人多的时候看这样的电影，就是一个旁观者。', '你以为谈的是武侠，其实谈的是爱情；你以为谈的是爱情，其实谈的是人生。']"
记忆碎片,8.6,全部 79089 条,"['如果还没看过，那么现在最该做的是千万别看任何有关的评论，立刻飞奔到影碟店，买张带导演评论的D版，然后开始失忆之旅。', '这片看起来太累了。。。', '用记忆来确定自己的身份，让自己相信世界仍然存在。\r\n剪辑手法太诡异了，看的我也失忆了。浑身发抖', '在六月五日的前一天特意看这部电影的，想了解一个没有记忆的组织，是如何确认自我的，在开头的时候还真以为没有记忆也是能确认自我的，然随着电影延伸，最终仍旧证明一个没有记忆的组织是没有自我的。一个没有自我的组织，在这世界做什么呢？复仇，杀人？', '约翰G只是失去记忆的杀手活下去的理由而已。一场无穷无尽的反复与补完，教导电影学院派诸君“管中窥豹”也会随时间轴递进转变为叙事一法。虽然没什么大牌演员，但各位的表演却也都很到位，甚至海报都与主题的嵌套法配合得恰到好处了。lenny变sammy的一处镜头是脱出困境的钥匙。']"
贫民窟的百万富翁,8.6,全部 65559 条,"['杰玛在老大家中劝拉媞卡跟他一起逃走。\n拉媞卡：那我们靠什么生活？\n杰玛：爱。\n\n这就是现实中爱情和电影中爱情的差距。', '得2000万的时候全场欢呼，我却哭了，为他哥。life is shit, but god is great.', '很好的题材，但还是少了点什么', '实至名归', '中国能出这样现实主义的电影么？中国会出这样现实主义的电影么？中国敢出这样现实主义的电影么？']"
荒蛮故事,8.8,全部 67607 条,"['始于荒诞，止于更荒诞。于我们，还是有很多共鸣的', '人生的大喜大悲实在是太TM刺激了。8.7', '这片和“天注定”的最大区别，就是我们只剩下填充胸臆的戾气、而阿根廷还保留着无政府主义的癫狂。同样是故事拼接，“四个月亮”导演该好好看看这片...', '又一个酒神附体的电影，有笑有泪的复仇大赛，库斯图里卡的黑色味精，昆汀的血色糖精，加点马卡维耶夫的迷狂春药，好玩。最凶暴的两个司机玩命斗气斗殴那一段，跑到奥迪车头拉粑粑的司机要是腹泻，就棒了，可怜我最喜欢的Joe Esposito单曲《Lady, Lady, Lady》为这么重口味的故事伴奏。', '除了ICBC植入广告外感觉可以满分，片头出字幕那段+全片配乐太牛逼了，bombita这段开始随着灯闪听到gustavo santaolalla标志的吉他声我激动到浑身打颤全面炸裂！喜欢台译片名，感觉抓到了精髓。阿根廷电影绝对西语世界的良心，想看的演员都看到了还这么充满正能量太开心！！！']"
黑天鹅,8.6,全部 128141 条,"['不配5星，至少20星。', '“我感受到了，感到了……完美。”一段用走火入魔来成就的完美，亦真亦假、亦实亦幻。影片从始至终都弥漫着黑暗的色调，很惊悚，很压抑，无论配乐还是摄影都极其吸引观众。娜塔莉·波特曼颠覆以往，奉献了一场精彩的演出。★★★★★', '旧酒无味，但新瓶子很美。\r\n', '就是个外国版“不疯靡不成活”的故事，加那么一点《钢琴教师》的桥段，怎么说呢，虽然natalie很用力在演，不过总觉得缺了点什么。剧本如人，可能是神经太紧绷了，反就不容易好。\r\n', '這部電影真酷！ Natalie Portman太棒了...好幾幕看得我眼淚都快出來了太難過了嗚嗚嗚~~']"
头号玩家,8.7,全部 249212 条,"['斯皮尔伯格把他对电影的梦想、热心、爱与情怀，浓缩到这部片子，通过极具年代感的经典电影和角色，又并茂高科技的现代游戏闯关，他拿手的、专注的、想诉说的都在这里给影迷情倾盆呈现，并在最后一句“谢谢你玩我的游戏”推向高潮，就像在银幕前看着他对我们说“谢谢你看我的电影”…泪奔', '全场喊牛逼！没啥是斯皮尔伯格做不到的了，在一个商业片中把所有的特效情怀和爱结合得完整而彻底，让影迷乐迷游戏迷接二连三地高潮，即使都不是也能看得花枝乱颤，这样应该算是完美了吧。而最后也竟然默默抹了把眼泪…Reality is the only thing that is real.', '9。我爱这部电影，就好像我的梦想是能进入马丁·斯科塞斯的《出租车司机》，看罗伯特德尼罗枪杀嫖客和鸡头，营救朱迪·福斯特。所以，我爱这部电影。', '剧本逻辑有缺陷吗？人物动机有问题吗？也许有。But nobody gives a fuck! 就像IMAX开头那句话：“看一部电影，还是进入一部电影”，斯皮尔伯格用140分钟的影像为这句话做了最好背书。带上3D眼镜，放下一切包袱，进入这个世界，然后几十年后和自己的后辈吹嘘自己当年看这部电影时的场景吧。', '堪比“黑客帝国”的虚拟与现实切换，但没有苦大仇深的哲学思考，而是带着娱乐至死的精神，把影视游戏各种流行文化致敬了个遍。和当初的E.T.一样，童心未泯的斯皮尔伯格不经意就开启了电影的未来。宅男宅女们，欢迎来到VR纪元！（最后还不忘勿沉迷的忠告，赞赞赞~）']"
花样年华,8.6,全部 71271 条,"['王家卫最强的,就是让人掉到一种情绪中去', '“回去给我打个电话，你不用说话，响三下就好。”看这部时真的会觉得旗袍就是为张曼玉而生。', '最喜欢的一幕，还是突然响起的《Quizas Quizas Quizas》前奏，电话这头的周慕云，电话那头的苏丽珍，没有对话，但彼此好像听得见对方的心跳。无论故事还是爱情本身的可能，一切尽在不言中。这就是王家卫。', '最棒的故事不是大战七七四十九个回合，而是欲言又止。', '又观一遍，无法用言语形容。戈达尔（形式））+安东尼奥尼（疏离）+成濑（女性）。场景在时间线上“跳接”；戏中戏无缝接；慢镜头+配乐；正位镜头的平移自《随心所欲》；风华绝代的张曼玉；王家卫第一次这么正经，没有画外音旁白，日光下的镜头也是第一次吗。']"
